Origin,Delay_Probability
ABE,0.05420587619792607
ABI,0.13133668957950106
ABQ,0.05665478417689493
ABR,0.11302510269283433
ABY,0.08253205128205128
ACK,0.025095564492277667
ACT,0.1817252396166134
ACV,0.046899631181491874
ACY,0.021140839157999053
AEX,0.10092756235281206
AGS,0.09040359181631744
ALB,0.06281467537068319
ALO,0.030370607028753993
ALS,8.19672131147541e-05
ALW,0.02949733759318424
AMA,0.05453587834585244
APN,0.10203960050473865
ART,0.03613418530351438
ASE,0.1478341068880898
ATL,0.10868759401762787
ATY,0.062457304881126385
AUS,0.059836873134854994
AVP,0.07440888509427508
AZO,0.09606316672659715
BDL,0.045155396363026595
BFF,0.04500745473908413
BFL,0.026402767294285777
BGM,0.0740947816826411
BGR,0.042524870121244306
BIS,0.06345630003947485
BJI,0.10406017039403621
BLI,0.01691147067917139
BLV,0.03403235514426414
BMI,0.03440209115330282
BNA,0.05327933571415434
BOI,0.03226593689629552
BOS,0.07699098472369867
BPT,0.16823642172523962
BQK,0.0830111821086262
BRD,0.08497124600638978
BRO,0.06596329682032558
BTM,0.10482428115015975
BTR,0.06984108364366268
BTV,0.1171601736668053
BUF,0.05074377881040074
BUR,0.028967702183473033
BWI,0.06231768219241907
CAK,0.036138646417931734
CDC,0.07516245487364621
CHO,0.10244031482541154
CHS,0.029558004461715588
CID,0.04806059493398073
CIU,0.05240415335463259
CKB,0.025370987372584815
CLE,0.037082834398600224
CLL,0.1081930244941427
CLT,0.15659219271255917
CMH,0.04519487654515266
CMI,0.12905503358750908
CMX,0.058498542805100175
CNY,0.05098054260723825
COD,0.07669306252852578
COS,0.05736227787681495
COU,0.10974113038186521
CPR,0.10063099041533546
CRP,0.11401497504159733
CRW,0.05960341393005854
CSG,0.04237623221648781
CVG,0.06396903718217767
CWA,0.09145886215667039
DAB,0.05721420674189634
DAL,0.04736096921238515
DAY,0.04966200144934371
DBQ,0.10497183641975308
DCA,0.08097016000769225
DEN,0.10693279925504678
DFW,0.15359556182038542
DHN,0.11943290734824281
DIK,0.0853381256656017
DLH,0.09673056443024493
DRO,0.05371001656608685
DRT,0.10973784722222223
DTW,0.09883632942640713
EAR,0.030945299478321104
EAT,0.0473013844515442
EAU,0.014233759318423855
EGE,0.06849082142845572
EKO,0.07023961661341853
ELM,0.029260966233703188
ELP,0.04610116417723991
ERI,0.05241596014904439
ESC,0.11836906283280084
EUG,0.029111514989366778
EVV,0.06059669759154583
EWN,0.08920022303936342
EWR,0.09964754143384298
FAT,0.04916942584325396
FAY,0.07126911424479454
FLG,0.07103067722789491
FLL,0.10171783258032417
FLO,0.10177083333333334
FNT,0.03431613841075543
FSD,0.0698863534088913
FSM,0.14533700890304663
FWA,0.067235508261174
GCC,0.03731056975505857
GCK,0.15431309904153354
GEG,0.05385136535181633
GFK,0.053975148534274986
GGG,0.1366506922257721
GJT,0.027209621959990864
GNV,0.0867691927150793
GPT,0.06557476038338658
GRB,0.03722863352000087
GRI,0.06420589851935828
GRK,0.13275079872204473
GRR,0.0609540998483111
GSO,0.09694843865746244
GSP,0.04954362728982518
GTF,0.03861286721825836
GTR,0.10729499467518636
GUC,0.06181888740304248
HDN,0.04562723511031813
HIB,0.10510117145899894
HLN,0.0305644872977803
HOB,0.03198883572567783
HOU,0.05036972623818534
HPN,0.13253522273241786
HRL,0.03458586752602275
HSV,0.08116343711012351
HTS,0.11193576388888887
HVN,0.008280632411067192
HYA,0.0
HYS,0.0420145101171459
IAD,0.09465853429326154
IAG,0.0813821138211382
IAH,0.11429059077963644
ICT,0.04769519708583726
IDA,0.03783341646154985
ILG,0.0
IMT,0.08333907652517876
IND,0.07259342037562787
ISP,0.033535713025910366
ITH,0.0869350743159478
JAN,0.12384190486904625
JAX,0.06823903793007421
JFK,0.07741191576867874
JLN,0.058162701329452775
JMS,0.040404530744336566
LAN,0.05282241788322817
LAR,0.05456070287539936
LAS,0.044335774388753565
LAW,0.2208854404381561
LAX,0.046944085575389365
LBB,0.058291087962962965
LBE,0.007498254281949934
LBF,0.06075813833002332
LCH,0.12595931509584665
LCK,0.028682034334555587
LEX,0.057050993417858235
LFT,0.11261857331993215
LGA,0.08440020390868087
LGB,0.01940771606149392
LIT,0.09267932170280743
LNK,0.050476150095958405
LRD,0.05036191235975779
LSE,0.0953759716879297
LWB,0.012166366013924209
LWS,0.059704472843450485
LYH,0.10840255591054312
MAF,0.08042015932638029
MBS,0.030005604825382837
MCI,0.04767266558947037
MCO,0.13701710089960117
MDT,0.05746862004741417
MDW,0.05271720762264129
MEI,0.03871150944401424
MEM,0.049965774059832
MGM,0.1062691925207705
MHK,0.06006561828119035
MHT,0.04578059992701847
MIA,0.10371209257207217
MKE,0.04617696486573923
MKG,0.07481533589866923
MLB,0.025862449867446128
MLI,0.0883025638107979
MLU,0.062002896248725875
MOB,0.14934913536962205
MOT,0.0702747910514267
MRY,0.034748622898933774
MSN,0.04502472180358299
MSP,0.0869152971951468
MSY,0.07233182083265505
MTJ,0.02306931624760911
MVY,0.007657748138625529
MYR,0.03273516871654241
OAJ,0.11154685835995742
OAK,0.01170911166514446
OGS,0.03642157824517344
OKC,0.10570569597057423
OMA,0.05239209433506365
ONT,0.021198935734237864
ORD,0.16874394048381333
ORF,0.04954882316029427
ORH,0.03043502294635008
OTH,0.016515099650083676
PAE,0.02193005956337988
PAH,0.02242622950819672
PBG,0.027672798696943567
PBI,0.0395239379321111
PDX,0.030499348643980174
PGV,0.10645833333333334
PHF,0.08069489298743865
PHL,0.08422830913633018
PHX,0.032989838130241096
PIA,0.06532561760910953
PIB,0.04178440806925338
PIE,0.07052850809742055
PIH,0.08269968051118211
PIR,0.05593125701459035
PIT,0.04932772521297902
PLN,0.12331842161784842
PNS,0.06513540091721709
PQI,0.055041528637956694
PRC,0.034491734726144654
PSM,0.0
PSP,0.022287487094575523
PUW,0.10768013906996958
PVU,0.0019305019305019305
PWM,0.050893660599964155
RDD,0.019088647866314364
RDU,0.052196652764136306
RFD,0.006825938566552901
RHI,0.08834291799787009
RIC,0.05672690770930945
RIW,0.07135185185185185
RKS,0.015133120340788071
RNO,0.03871167085388643
ROA,0.054415333292501915
ROC,0.05026686212069266
ROW,0.06135313356449586
RST,0.07712044159348622
RSW,0.04768093510824645
SAF,0.061129760458383954
SAN,0.02953324239193092
SAT,0.03216108967079492
SAV,0.06788285626835998
SBA,0.03275204626126757
SBN,0.08101092207789133
SBP,0.03261619379562445
SBY,0.04244728434504792
SCK,0.026529252774588594
SEA,0.06544553298303982
SFB,0.04611336941582093
SFO,0.03544520294865982
SGF,0.09875409307398067
SGU,0.05349170781215713
SHD,0.015364178875360984
SHR,0.09098972145133107
SHV,0.0934966369344908
SJC,0.017734053099483123
SJT,0.19810329005506083
SLC,0.08256258780702348
SLN,0.023944789958082743
SMF,0.023656457554243497
SMX,0.011380718954248366
SNA,0.03183402896946169
SPI,0.09037085108271212
SPS,0.14758481667427356
STL,0.057460443106237206
STS,0.01398186825481409
SUN,0.06137867948960322
SUX,0.08595773378006205
SWF,0.046720612902977264
SWO,0.09103035143769968
SYR,0.04739419394165655
TBN,0.0
TLH,0.09072071659481198
TOL,0.037727192473513534
TPA,0.0796365926341648
TRI,0.09164866265545686
TTN,0.01412228563518021
TUL,0.058590194190158075
TUS,0.05256500745021058
TVC,0.04483890738275033
TWF,0.054888404848732336
TXK,0.11008261068005476
TYR,0.06459238551650692
TYS,0.04077901839818692
VLD,0.12703727369542064
WYS,0.07688214285714284
XWA,0.1263179079054353
YKM,0.0331063122923588
